Year;Month;Day;Hour;Min;Sec;EpicentralArea;Lat;Lon;Dep;Io;Mw;ErMw
1005;;;;;;Arezzo;43,464;11,882;;6-7;4,86;0,46
1005;;;;;;Cassino;41,488;13,831;;7;5,1;0,46
1019;4;1;;;;Benevento;41,131;14,778;;6;4,63;0,46
1044;4;19;9;;;Benevento;41,131;14,778;;6;4,63;0,46
1065;3;27;;;;Brescia;45,539;10,22;;7;5,1;0,46
1087;9;10;;;;Bari;41,129;16,869;;6-7;4,86;0,46
1091;1;27;;;;Roma;41,899;12,477;;7;5,1;0,46
1094;1;14;;;;Benevento;41,131;14,778;;6;4,63;0,46
1117;1;3;15;15;;Veronese;45,267;11,015;;9;6,52;0,1
1120;3;25;;;;Valle del Garigliano;41,377;13,917;;8-9;5,8;0,46
1125;6;7;11;;;Siracusa;37,073;15,286;;8-9;5,8;0,46
1125;10;11;;;;Benevento;41,131;14,778;;7-8;5,33;0,46
1139;1;22;;;;Benevento;41,131;14,778;;5-6;4,4;0,46
1148;;;;;;Firenze;43,773;11,257;;7;5,1;0,46
1160;10;15;;;;Subiaco;41,925;13,095;;7-8;5,33;0,46
1161;1;16;6;;;Frusinate;41,568;13,334;;7;5,1;0,46
1168;1;10;;;;Pisa;43,718;10,402;;5-6;4,4;0,46
1169;2;4;7;;;Sicilia sud-orientale;37,215;14,949;;10;6,5;0,46
1170;5;9;;;;Frusinate;41,568;13,334;;8;5,56;0,46
1172;9;26;13;40;;Messina;38,185;15,555;;8;5,56;0,46
1174;8;17;18;;;Val Padana;44,494;11,343;;4-5;3,93;0,46
1182;8;15;;;;Genova;44,419;8,898;;6;4,63;0,46
1183;12;;;;;Verona;45,439;10,994;;6-7;4,86;0,46
1184;5;24;;;;Valle del Crati;39,395;16,193;;9;6,75;0,27
1194;;;;;;Galeata;44,067;12,078;;6-7;4,86;0,46
1196;;;;;;Pistoia;43,933;10,915;;6;4,63;0,46
1198;;;;;;Pozzuoli;40,822;14,123;;6;3,37;0,5
1201;5;4;;;;Carinthia, Millstatt;46,831;13,671;;6-7;4,86;0,46
1217;1;8;;;;Genova;44,419;8,898;;5-6;4,4;0,46
1222;12;25;12;30;;Bresciano-Veronese;45,533;10,623;;7-8;5,68;0,36
1230;4;5;;;;Reggio di Calabria;38,108;15,647;;5-6;4,4;0,46
1231;6;1;11;;;Cassinese;41,488;13,831;;7;5,1;0,46
1234;3;20;;;;Ferrara;44,835;11,62;;7;5,1;0,46
1242;10;24;;;;Vicenza;45,548;11,546;;5-6;4,4;0,46
1246;;;;;;Spoleto;42,736;12,737;;7-8;5,33;0,46
1249;9;;;;;Modena;44,647;10,926;;6-7;4,86;0,46
1255;11;17;10;;;Messina;38,185;15,555;;6-7;4,86;0,46
1269;9;;;;;Costa anconetana;43,566;13,567;;8;5,56;0,46
1273;12;18;;;;Potenza;40,638;15,802;;8-9;5,8;0,46
1275;11;2;;;;Isola d'Ischia;40,743;13,942;;8-9;4,01;0,5
1276;5;22;;;;Orvietano;42,721;12,091;;8;5,56;0,46
1276;7;29;18;30;;Monferrato;44,627;8,482;;5;4,81;0,31
1277;;;;;;Spoleto;42,736;12,737;;8;5,56;0,46
1279;4;30;18;;;Appennino umbro-marchigiano;43,093;12,872;;9;6,2;0,16
1279;4;30;;;;Appennino forlivese;44,13;11,919;;7-8;5,52;0,42
1280;1;25;;;;Pianura emiliana;44,814;10,683;;5-6;4,4;0,46
1284;1;17;15;30;;Venezia;45,438;12,336;;5;4,16;0,46
1285;12;13;;;;Ferrara;44,835;11,62;;7;5,1;0,46
1287;;;;;;Monte Amiata;42,88;11,678;;6-7;4,86;0,46
1293;3;;;;;Pistoia;43,933;10,915;;8;5,56;0,46
1293;9;4;;;;Sannio-Matese;41,304;14,548;;8-9;5,8;0,46
1295;9;3;;;;Grigioni, Churwalden;46,78;9,54;;8;6,2;0,5
1298;11;30;;;;Rieti;42,402;12,86;;5-6;4,4;0,46
1298;12;1;;;;Monti Reatini;42,575;12,902;;9-10;6,26;0,46
1301;6;11;4;;;Cividale del Friuli;46,093;13,431;;5;4,16;0,46
1304;12;18;2;;;Pianura lombarda;45,352;8,954;;5-6;4,4;0,46
1306;7;;;;;Lucca;43,843;10,505;;6;4,63;0,46
1308;1;25;17;15;;Rimini;44,059;12,568;;7-8;5,33;0,46
1311;;;;;;Pinerolo;44,885;7,327;;6;4,63;0,46
1312;10;14;11;15;;Pianura lombarda;45,352;8,954;;5;4,16;0,46
1315;12;3;;;;Aquilano;42,351;13,399;;8;5,56;0,46
1320;12;16;;;;Siena;43,318;11,332;;7;5,1;0,46
1322;;;;;;Pisa;43,718;10,402;;5-6;4,4;0,46
1323;2;25;19;;;Bologna;44,57;11,134;;5;4,16;0,46
1323;;;;;;Costa croata settentrionale;45,2;14,7;;9;6,03;0,46
1325;5;21;;;;Firenze;43,773;11,257;;5-6;4,4;0,46
1328;12;1;;;;Valnerina;42,857;13,018;;10;6,49;0,28
1329;6;28;22;;;Etna - Area sommitale;37,75;15;;7-8;4,03;0,36
1334;12;4;;;;Verona;45,439;10,994;;6-7;4,86;0,46
1339;11;16;14;10;;Ferrara;44,835;11,62;;6;4,63;0,46
1344;11;11;;;;Parma;44,801;10,33;;5;4,16;0,46
1345;1;31;;;;Pianura emiliana;44,81;10,564;;5-6;4,4;0,46
1345;9;12;;;;Firenze;43,773;11,257;;6;4,63;0,46
1345;12;22;;;;Firenze;43,773;11,257;;6;4,63;0,46
1346;2;8;;;;Modena;44,647;10,926;;5;4,16;0,46
1348;1;25;;;;Alpi Giulie;46,504;13,581;;9;6,63;0,1
1348;9;13;;;;Subiaco;41,925;13,095;;8;5,56;0,46
1349;1;22;18;;;Isernia;41,592;14,228;;5-6;4,4;0,46
1349;9;9;;;;Appennino laziale-abruzzese;42,27;13,118;;9;6,27;0,14
1349;9;9;;;;Lazio-Molise;41,554;13,942;;10;6,8;0,17
1352;1;25;;;;Catania;37,502;15,087;;7-8;5,33;0,46
1352;12;25;;;;Alta Valtiberina;43,469;12,127;;9;6,31;0,21
1358;;;;;;Alta Valtiberina;43,57;12,141;;6-7;4,86;0,46
1361;7;17;17;15;;Subappennino dauno;41,205;15,561;;9;6,03;0,46
1361;12;27;;;;Siena;43,318;11,332;;6-7;4,86;0,46
1365;3;4;;;;Pianura Veneta;45,337;12,019;;5;4,63;0,63
1365;7;25;18;;;Bologna;44,494;11,343;;7-8;5,33;0,46
1365;9;21;5;45;;Verona;45,439;10,994;;5-6;4,4;0,46
1367;;;;;;Cassinese;41,54;13,867;;7;5,1;0,46
1369;2;1;;;;Alessandria;44,913;8,615;;6-7;4,86;0,46
1373;1;;;;;Vicenza;45,548;11,546;;5-6;4,4;0,46
1373;3;1;8;;;Venezia;45,438;12,336;;5;4,16;0,46
1373;4;;;;;Vicenza;45,548;11,546;;5-6;4,4;0,46
1376;3;12;1;15;;Vicenza;45,548;11,546;;6-7;4,86;0,46
1376;3;15;;;;Vicenza;45,548;11,546;;5-6;4,4;0,46
1377;11;14;;;;Tropea;38,675;15,899;;7-8;5,33;0,46
1383;7;24;20;;;Parma;44,801;10,33;;4-5;3,93;0,46
1383;8;4;;;;Forlì;44,222;12,04;;7-8;5,33;0,46
1384;2;4;5;5;;Firenze;43,773;11,257;;5;4,16;0,46
1384;2;4;17;10;;Firenze;43,773;11,257;;5;4,16;0,46
1384;10;22;;;;Teramo;42,659;13,703;;7;5,1;0,46
1386;3;17;;;;Napoli;40,849;14,25;;7-8;3,75;0,5
1389;4;;;;;Fano;43,837;13,018;;7;5,1;0,46
1389;8;20;13;;;Friuli;46,406;13,197;;6-7;4,86;0,46
1389;10;18;;;;Alta Valtiberina;43,527;12,299;;9;6,03;0,46
1392;1;28;0;30;;Belluno;46,139;12,218;;4-5;3,93;0,46
1393;6;15;;;;Appennino forlivese;43,996;11,912;;7;5,1;0,46
1396;11;26;;;;Monza;45,584;9,274;;7-8;5,33;0,46
1398;4;3;;;;Aquilano;42,351;13,399;;6;4,63;0,46
1399;7;20;23;;;Appennino modenese;44,441;10,925;;7;5,1;0,46
1400;2;29;19;15;;Bologna;44,494;11,343;;5;4,16;0,46
1400;3;3;12;15;;Bologna;44,494;11,343;;5;4,16;0,46
1401;6;29;9;;;Belluno;46,139;12,218;;5;4,16;0,46
1402;;;;;;Verona;45,439;10,994;;6;4,63;0,46
1403;1;12;5;30;;Belluno;46,139;12,218;;6;4,63;0,46
1403;9;6;;;;Cividale del Friuli;46,093;13,431;;8;5,56;0,46
1404;2;1;21;;;Belluno;46,139;12,218;;5;4,16;0,46
1405;6;26;13;45;;Feltrino;46,019;11,906;;4-5;3,93;0,46
1406;5;28;21;30;;Belluno;46,139;12,218;;4-5;3,93;0,46
1406;9;16;;;;Napoli;40,849;14,25;;5;3,12;0,5
1408;1;3;16;30;;Bologna;44,494;11,343;;4;3,7;0,46
1409;8;17;0;35;;Ferrara;44,835;11,62;;6;4,63;0,46
1409;11;15;11;15;;Parma;44,801;10,33;;7;5,1;0,46
1410;5;9;22;30;;Ferrara;44,835;11,62;;6-7;4,86;0,46
1411;1;9;2;;;Ferrara;44,835;11,62;;7;5,1;0,46
1411;7;1;6;;;Belluno;46,139;12,218;;4-5;3,93;0,46
1414;8;7;;;;Colline Metallifere;43,27;11,121;;7-8;5,7;0,38
1414;;;;;;Gargano;41,882;16,18;;8-9;5,8;0,46
1420;;;;;;Siena;43,318;11,332;;5-6;4,4;0,46
1423;11;10;;;;L'Aquila;42,351;13,399;;5;4,16;0,46
1424;10;20;;;;Appennino tosco-romagnolo;44,172;11,947;;5;4,16;0,46
1425;8;10;;;;Ferrarese;44,835;11,62;;6;4,63;0,46
1426;;;;;;Firenze;43,773;11,257;;5-6;4,4;0,46
1428;7;3;5;;;Forlivese;44,146;12,046;;7-8;5,47;0,37
1429;6;26;;;;Siena;43,318;11,332;;5;4,16;0,46
1429;11;10;16;20;;Messina;38,185;15,555;;6-7;4,86;0,46
1430;8;13;0;40;;Siena;43,318;11,332;;5;4,16;0,46
1433;5;4;8;5;;Bologna;44,494;11,343;;6;4,63;0,46
1436;3;;;;;Siena;43,318;11,332;;6-7;4,86;0,46
1438;2;2;12;15;;Colli Albani;41,787;12,677;;7-8;5,33;0,46
1438;6;11;2;;;Parmense;44,844;10,239;;8;5,56;0,46
1445;3;21;13;30;;Verona;45,439;10,994;;5-6;4,4;0,46
1448;;;;;;Messina;38,185;15,555;;5;4,16;0,46
1449;10;15;20;45;;Crete Senesi;43,234;11,56;;6;4,63;0,46
1449;;;;;;Pinerolo;44,885;7,327;;5;4,16;0,46
1450;;;;;;Sicilia settentrionale;38,113;14,884;;5-6;4,4;0,46
1453;9;28;22;45;;Fiorentino;43,783;11,287;;7-8;5,38;0,37
1455;12;20;20;45;;Appennino bolognese;44,494;11,343;;5-6;4,4;0,46
1456;12;5;;;;Appennino centro-meridionale;41,302;14,711;;11;7,19;0,1
1456;12;9;;;;Sansepolcro;43,57;12,141;;5-6;4,4;0,46
1457;1;8;;;;Napoli;40,849;14,25;;6;3,37;0,5
1457;2;10;;;;Capua;41,106;14,214;;5-6;4,4;0,46
1458;4;26;12;15;;Alta Valtiberina;43,463;12,236;;8-9;5,8;0,46
1458;5;1;0;35;;Alta Valtiberina;43,457;12,239;;6;4,63;0,46
1458;5;;;;;Appennino umbro-marchigiano;43,194;13,229;;5-6;4,4;0,46
1461;11;27;;;;Aquilano;42,308;13,543;;10;6,5;0,46
1462;1;3;20;25;;Aquilano;42,351;13,399;;5;4,16;0,46
1462;1;4;22;25;;Aquilano;42,351;13,399;;5;4,16;0,46
1462;3;27;2;;;Aquilano;42,351;13,399;;5;4,16;0,46
1464;3;24;;;;Garfagnana;43,996;10,457;;5;4,16;0,46
1465;4;7;15;30;;Pianura emiliana;44,698;10,631;;5-6;4,4;0,46
1465;5;17;;;;Gubbio;43,351;12,577;;6;4,63;0,46
1466;1;15;2;25;;Irpinia-Basilicata;40,765;15,334;;8-9;5,98;0,17
1466;12;20;11;;;Aquilano;42,351;13,399;;5;4,16;0,46
1466;12;26;;;;Gubbio;43,351;12,577;;6;4,63;0,46
1467;8;22;20;20;;Siena;43,318;11,332;;5-6;4,4;0,46
1467;9;3;;;;Siena;43,318;11,332;;6-7;4,86;0,46
1468;6;6;10;30;;Romagna;44,059;12,568;;4;3,7;0,46
1469;4;7;6;25;;Firenze;43,773;11,257;;5;4,16;0,46
1470;1;;;;;Campi Flegrei (Pozzuoli);40,822;14,123;;7;3,63;0,5
1470;4;11;;;;Appennino bolognese;44,162;11,037;;8;5,56;0,46
1471;3;;;;;Gubbio;43,351;12,577;;5;4,16;0,46
1471;8;15;16;40;;Brescia;45,539;10,22;;5;4,16;0,46
1471;;;;;;Brescia;45,539;10,22;;4;3,7;0,46
1472;;;;;;Rimini;44,059;12,568;;7;5,1;0,46
1473;2;2;;;;Rimini;44,059;12,568;;5-6;4,4;0,46
1473;5;7;7;45;;Milanese;45,464;9,191;;4;3,7;0,46
1474;3;11;20;30;;Modena;44,647;10,926;;5;4,16;0,46
1474;8;18;;;;Ancona;43,619;13,513;;7;5,1;0,46
1477;1;30;16;;;Valle Umbra;42,955;12,704;;5-6;4,4;0,46
1477;2;3;1;;;Valle Umbra;42,955;12,704;;6-7;4,86;0,46
1479;10;10;22;;;Forlì;44,222;12,04;;5;4,16;0,46
1480;;;;;;Ascolano;42,919;13,835;;6-7;4,86;0,46
1481;2;6;21;15;;Monti Pisani;43,781;10,454;;5-6;4,4;0,46
1481;2;7;6;20;;Lucca;43,843;10,505;;5-6;4,4;0,46
1481;2;7;22;45;;Pianura emiliana;44,724;10,628;;5;4,16;0,46
1481;5;7;14;15;;Lunigiana;44,274;10,13;;8;5,6;0,41
1483;3;3;22;;;Ferrara;44,835;11,62;;5-6;4,4;0,46
1483;8;11;19;40;;Romagna;44,155;12,229;;8;5,69;0,28
1484;1;19;;;;Sabina;42,092;12,565;;6-7;5,02;0,57
1484;;;;;;Sansepolcro;43,57;12,141;;7;5,1;0,46
1485;9;1;;;;Pianura padano-veneta;45,355;11,721;;5;4,16;0,46
1485;;;;;;Reggio nell'Emilia;44,698;10,631;;5;4,16;0,46
1486;9;30;;;;Siena;43,318;11,332;;5-6;4,4;0,46
1487;1;11;15;40;;Ferrara;44,835;11,62;;4;3,7;0,46
1489;;;;;;Sansepolcro;43,57;12,141;;7;5,1;0,46
1490;6;10;;;;Sicilia settentrionale;37,816;14,614;;7;5,1;0,46
1491;1;24;23;50;;Padova;45,407;11,875;;6-7;4,86;0,46
1492;1;;;;;Forlì;44,222;12,04;;6-7;4,86;0,46
1493;8;24;;;;Gemona del Friuli;46,279;13,135;;5;4,16;0,46
1494;5;29;2;15;;Messina;38,185;15,555;;7-8;5,33;0,46
1494;6;13;;;;Nice;43,7;7,267;;5-6;4,4;0,46
1496;6;4;8;30;;Siena;43,318;11,332;;7;5,1;0,46
1496;6;4;;;;Siena;43,318;11,332;;5;4,16;0,46
1496;6;;;;;Valle Umbra;42,806;12,742;;5;4,16;0,46
1498;4;10;;;;L'Aquila;42,351;13,399;;5-6;4,4;0,46
1498;4;11;8;50;;Senese;43,197;11,506;;5-6;4,4;0,46
1498;10;7;;;;Campi Flegrei (Pozzuoli);40,835;14,186;;5-6;3,25;0,5
1498;10;20;;;;Campi Flegrei (Pozzuoli);40,822;14,123;;7;3,63;0,5
1499;3;18;1;45;;Napoli;40,849;14,25;;5;3,12;0,5
1499;11;9;;;;Messina;38,185;15,555;;7-8;5,33;0,46
1499;12;5;22;;;Nola;40,926;14,529;;8;5,56;0,46
1501;6;5;10;;;Modenese;44,519;10,844;;9;6,05;0,19
1502;3;10;;;;Reatino;42,386;12,949;;7;5,1;0,46
1502;5;15;;;;Valle Stura;44,331;7,487;;5;4,16;0,46
1502;9;6;;;;Appennino anconetano;43,462;13,087;;6;4,63;0,46
1503;11;14;;;;Appennino anconetano;43,425;13,024;;6-7;4,86;0,46
1504;11;1;;;;Casentino;43,697;11,816;;7;5,1;0,46
1504;12;31;4;;;Bolognese;44,494;11,343;;6;5,02;0,28
1505;1;3;2;;;Bolognese;44,507;11,23;;8;5,62;0,21
1505;1;20;23;50;;Bolognese;44,494;11,343;;5-6;4,76;0,32
1505;1;27;2;40;;Bolognese;44,494;11,343;;5;4,16;0,46
1505;4;3;12;25;;Bolognese;44,494;11,343;;5-6;4,4;0,46
1505;5;15;;;;Bolognese;44,494;11,343;;5-6;4,4;0,46
1505;5;18;8;55;;Campi Flegrei (Agnano);40,83;14,149;;7-8;3,75;0,5
1507;;;;;;Pinerolo;44,885;7,327;;5;4,16;0,46
1508;1;;;;;Ljubljana;46;14,5;;7;5,1;0,46
1508;4;25;;;;Campi Flegrei (Pozzuoli);40,822;14,123;;8;3,88;0,5
1508;7;19;8;55;;Napoli;40,849;14,25;;5;3,12;0,5
1508;10;18;;;;Ferrarese;44,835;11,62;;4;3,7;0,46
1508;10;26;;;;Ferrarese;44,835;11,62;;5;4,16;0,46
1509;2;25;22;20;;Stretto di Messina;38,099;15,684;;8;5,56;0,46
1509;4;19;;;;Faentino;44,323;11,864;;7;5,02;0,6
1509;12;24;21;;;Val d'Orcia;42,896;11,769;;6;4,63;0,46
1511;3;26;15;30;;Friuli-Slovenia;46,209;13,216;;9;6,32;0,1
1511;4;;;;;Anconetano;43,44;13,61;;6;4,63;0,46
1512;2;8;;;;Valchiavenna;46,322;9,402;;6;4,63;0,46
1513;2;10;;;;Alessandria;44,913;8,615;;5;4,16;0,46
1513;8;25;;;;Messina;38,185;15,555;;5;4,16;0,46
1516;12;19;23;;;Gemona del Friuli;46,279;13,135;;5;4,16;0,46
1517;3;29;19;;;Irpinia;41,011;15,21;;7-8;5,33;0,46
1517;12;31;3;55;;Catania;37,502;15,087;;5;4,16;0,46
1518;5;20;21;40;;Catania;37,502;15,087;;5;4,16;0,46
1519;;;;;;Reatino;42,386;12,949;;6;4,63;0,46
1520;1;9;17;30;;Alta Valtiberina;43,541;12,054;;6-7;4,86;0,46
1520;1;28;23;50;;Campi Flegrei (Pozzuoli);40,835;14,186;;6-7;3,5;0,5
